Item_name,Item_code,Outlet,Outlet_place,Outlet_type,Month,Year,Units,Katalog
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,9,2018,2866,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,10,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,10,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,11,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,11,2018,17197,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,12,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE ZADAR 1,Mali supermarket,12,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,1,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,1,2018,8599,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,1,2019,2293,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,2,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,2,2018,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,2,2019,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,3,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,3,2018,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,3,2019,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,4,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,4,2018,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,5,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,5,2018,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,6,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,6,2018,34395,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,7,2017,40127,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,7,2018,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,8,2017,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,8,2018,57325,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,9,2017,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,9,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,10,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,10,2018,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,11,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,11,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,12,2017,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE TROGIR,Mali supermarket,12,2018,8599,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,1,2017,42994,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,1,2018,57325,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,1,2019,6879,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,2,2017,65924,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,2,2018,97452,0
